Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CSM2F-6918-L050J00;CSM2F-6918;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_0_part.jpg?sfvrsn=86af49f6_2;0.05;5 %;±50 ppm;36 W;Bulk Pack (50 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050j00_mds.pdf?sfvrsn=21b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l100j00_mds.pdf?sfvrsn=db549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l200j00_mds.pdf?sfvrsn=32b549f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-0;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918-1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918-1;https://www.bourns.com/docs/product-datasheets/csm2f-6918-0.pdf?sfvrsn=3eb149f6_4;
CSM2F-6918-L050J02;CSM2F-6918;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_2_part.jpg?sfvrsn=b0af49f6_2;0.05;5 %;±50 ppm;36 W;Bulk Pack (50 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050j02_mds.pdf?sfvrsn=26b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l100j02_mds.pdf?sfvrsn=50b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l200j02_mds.pdf?sfvrsn=5ab549f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-2;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918-2&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918-2;https://www.bourns.com/docs/product-datasheets/csm2f-6918-2.pdf?sfvrsn=34b149f6_4;
CSM2F-6918-L050J20;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x0_part.jpg?sfvrsn=b2125df6_1;0.05;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx0_mds.pdf?sfvrsn=e8145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l200jx0_mds.pdf?sfvrsn=f4145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l100jx0_mds.pdf?sfvrsn=d4145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x0;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x0.pdf?sfvrsn=a135df6_5;
CSM2F-6918-L050J21;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x1_part.jpg?sfvrsn=ed125df6_1;0.05;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx1_mds.pdf?sfvrsn=ba145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x1;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x1.pdf?sfvrsn=1135df6_5;
CSM2F-6918-L050J22;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x2_part.jpg?sfvrsn=7125df6_1;0.05;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx2_mds.pdf?sfvrsn=ef145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l100jx2_mds.pdf?sfvrsn=fd145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l200jx2_mds.pdf?sfvrsn=93145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x2;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x2.pdf?sfvrsn=7d135df6_5;
CSM2F-6918-L050J30;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x0_part.jpg?sfvrsn=b2125df6_1;0.05;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx0_mds.pdf?sfvrsn=e8145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l200jx0_mds.pdf?sfvrsn=f4145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l100jx0_mds.pdf?sfvrsn=d4145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x0;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x0.pdf?sfvrsn=a135df6_5;
CSM2F-6918-L050J31;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x1_part.jpg?sfvrsn=ed125df6_1;0.05;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx1_mds.pdf?sfvrsn=ba145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x1;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x1.pdf?sfvrsn=1135df6_5;
CSM2F-6918-L050J32;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x2_part.jpg?sfvrsn=7125df6_1;0.05;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx2_mds.pdf?sfvrsn=ef145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l100jx2_mds.pdf?sfvrsn=fd145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l200jx2_mds.pdf?sfvrsn=93145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x2;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x2.pdf?sfvrsn=7d135df6_5;
CSM2F-6918-L050JT0;CSM2F-6918;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_0_part.jpg?sfvrsn=86af49f6_2;0.05;5 %;±50 ppm;36 W;Tray Pack (52 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050j00_mds.pdf?sfvrsn=21b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l100j00_mds.pdf?sfvrsn=db549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l200j00_mds.pdf?sfvrsn=32b549f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-0;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918-1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918-1;https://www.bourns.com/docs/product-datasheets/csm2f-6918-0.pdf?sfvrsn=3eb149f6_4;
CSM2F-6918-L050JT2;CSM2F-6918;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_2_part.jpg?sfvrsn=b0af49f6_2;0.05;5 %;±50 ppm;36 W;Tray Pack (52 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050j02_mds.pdf?sfvrsn=26b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l100j02_mds.pdf?sfvrsn=50b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l200j02_mds.pdf?sfvrsn=5ab549f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-2;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918-2&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918-2;https://www.bourns.com/docs/product-datasheets/csm2f-6918-2.pdf?sfvrsn=34b149f6_4;
CSM2F-6918-L100J00;CSM2F-6918;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_0_part.jpg?sfvrsn=86af49f6_2;0.1;5 %;±50 ppm;36 W;Bulk Pack (50 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050j00_mds.pdf?sfvrsn=21b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l100j00_mds.pdf?sfvrsn=db549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l200j00_mds.pdf?sfvrsn=32b549f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-0;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918-1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918-1;https://www.bourns.com/docs/product-datasheets/csm2f-6918-0.pdf?sfvrsn=3eb149f6_4;
CSM2F-6918-L100J02;CSM2F-6918;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_2_part.jpg?sfvrsn=b0af49f6_2;0.1;5 %;±50 ppm;36 W;Bulk Pack (50 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050j02_mds.pdf?sfvrsn=26b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l100j02_mds.pdf?sfvrsn=50b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l200j02_mds.pdf?sfvrsn=5ab549f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-2;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918-2&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918-2;https://www.bourns.com/docs/product-datasheets/csm2f-6918-2.pdf?sfvrsn=34b149f6_4;
CSM2F-6918-L100J20;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x0_part.jpg?sfvrsn=b2125df6_1;0.1;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx0_mds.pdf?sfvrsn=e8145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l200jx0_mds.pdf?sfvrsn=f4145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l100jx0_mds.pdf?sfvrsn=d4145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x0;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x0.pdf?sfvrsn=a135df6_5;
CSM2F-6918-L100J21;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x1_part.jpg?sfvrsn=ed125df6_1;0.1;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx1_mds.pdf?sfvrsn=ba145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x1;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x1.pdf?sfvrsn=1135df6_5;
CSM2F-6918-L100J22;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x2_part.jpg?sfvrsn=7125df6_1;0.1;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx2_mds.pdf?sfvrsn=ef145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l100jx2_mds.pdf?sfvrsn=fd145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l200jx2_mds.pdf?sfvrsn=93145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x2;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x2.pdf?sfvrsn=7d135df6_5;
CSM2F-6918-L100J30;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x0_part.jpg?sfvrsn=b2125df6_1;0.1;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx0_mds.pdf?sfvrsn=e8145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l200jx0_mds.pdf?sfvrsn=f4145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l100jx0_mds.pdf?sfvrsn=d4145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x0;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x0.pdf?sfvrsn=a135df6_5;
CSM2F-6918-L100J31;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x1_part.jpg?sfvrsn=ed125df6_1;0.1;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx1_mds.pdf?sfvrsn=ba145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x1;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x1.pdf?sfvrsn=1135df6_5;
CSM2F-6918-L100J32;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x2_part.jpg?sfvrsn=7125df6_1;0.1;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx2_mds.pdf?sfvrsn=ef145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l100jx2_mds.pdf?sfvrsn=fd145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l200jx2_mds.pdf?sfvrsn=93145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x2;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x2.pdf?sfvrsn=7d135df6_5;
CSM2F-6918-L100JT0;CSM2F-6918;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_0_part.jpg?sfvrsn=86af49f6_2;0.1;5 %;±50 ppm;36 W;Tray Pack (52 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050j00_mds.pdf?sfvrsn=21b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l100j00_mds.pdf?sfvrsn=db549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l200j00_mds.pdf?sfvrsn=32b549f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-0;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918-1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918-1;https://www.bourns.com/docs/product-datasheets/csm2f-6918-0.pdf?sfvrsn=3eb149f6_4;
CSM2F-6918-L100JT2;CSM2F-6918;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_2_part.jpg?sfvrsn=b0af49f6_2;0.1;5 %;±50 ppm;36 W;Tray Pack (52 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050j02_mds.pdf?sfvrsn=26b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l100j02_mds.pdf?sfvrsn=50b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l200j02_mds.pdf?sfvrsn=5ab549f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-2;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918-2&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918-2;https://www.bourns.com/docs/product-datasheets/csm2f-6918-2.pdf?sfvrsn=34b149f6_4;
CSM2F-6918-L200J00;CSM2F-6918;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_0_part.jpg?sfvrsn=86af49f6_2;0.2;5 %;±50 ppm;36 W;Bulk Pack (50 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050j00_mds.pdf?sfvrsn=21b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l100j00_mds.pdf?sfvrsn=db549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l200j00_mds.pdf?sfvrsn=32b549f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-0;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918-1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918-1;https://www.bourns.com/docs/product-datasheets/csm2f-6918-0.pdf?sfvrsn=3eb149f6_4;
CSM2F-6918-L200J02;CSM2F-6918;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_2_part.jpg?sfvrsn=b0af49f6_2;0.2;5 %;±50 ppm;36 W;Bulk Pack (50 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050j02_mds.pdf?sfvrsn=26b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l100j02_mds.pdf?sfvrsn=50b549f6_4 https://www.bourns.com/docs/product-mds/csm2f-6918-l200j02_mds.pdf?sfvrsn=5ab549f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-2;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918-2&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918-2;https://www.bourns.com/docs/product-datasheets/csm2f-6918-2.pdf?sfvrsn=34b149f6_4;
CSM2F-6918-L200J20;CSM2F-6918 with 2 or 3 sensing pins;Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/csm2f_6918_x0_part.jpg?sfvrsn=b2125df6_1;0.2;5 %;±50 ppm;36 W;Tray Pack (30 pcs. per bag);https://www.bourns.com/docs/product-mds/csm2f-6918-l050jx0_mds.pdf?sfvrsn=e8145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l200jx0_mds.pdf?sfvrsn=f4145df6_3 https://www.bourns.com/docs/product-mds/csm2f-6918-l100jx0_mds.pdf?sfvrsn=d4145df6_3 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSM2F-6918-x0;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSM2F-6918&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSM2F-6918;https://www.bourns.com/docs/product-datasheets/csm2f-6918-x0.pdf?sfvrsn=a135df6_5;
